bioma;ponto;id;tcmax;classe;ordem;familia;subfamilia;genero;localidade;mes;hora;periodo;lat;long;alt;estacao;tempAR;tempSOL;peso;temp.conf
1;3;94;33.00;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;52;NAO
1;3;95;33.00;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;42;NAO
1;3;96;33.00;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;32;NAO
1;3;97;33.00;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;18;NAO
1;3;98;33.00;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;12;NAO
1;3;99;33.00;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;2;NAO
1;3;100;35.67;Insecta;Hymenoptera;Formicidae;Ponerinae;Hypoponera;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;1;NAO
1;3;101;33.00;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;1;NAO
1;3;102;33.00;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;1;NAO
1;3;104;29.67;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;28;NAO
1;3;105;31.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;19;NAO
1;3;106;33.67;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;1;NAO
1;3;107;34.00;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;11;NAO
1;3;108;36.00;Arachnida;Araneae;Pholcidae;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;8;NAO
1;3;109;36.00;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;1;NAO
1;3;110;36.00;Arachnida;Araneae;Pholcidae;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;1;NAO
1;3;112;38.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;1;NAO
1;3;113;43.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;1;NAO
1;3;116;34.67;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;1;NAO
1;3;117;36.33;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;3;NAO
1;3;118;36.00;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;1;NAO
1;3;119;39.00;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;23.00;1;NAO
1;3;120;43.67;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;mai/11;12:26:56;MANHA;-23.65098;-45.88237;790;Boraceia;NA;19.00;7;NAO
1;4;121;34.00;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;24;NAO
1;4;122;34.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
1;4;123;35.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;4;NAO
1;4;124;36.00;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
1;4;125;34.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
1;4;126;36.00;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
1;4;128;37.67;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;mai/11;10:30:37;MANHA;-23.65047;-45.88187;790;Boraceia;NA;19.00;1;NAO
