bioma;ponto;id;tcmax;classe;ordem;familia;subfamilia;genero;localidade;lat;long;alt;estacao;tempAR;tempSOL;peso
1.0;4;154;37.33;Arachnida;Araneae;Ctenidae;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
1.0;4;155;37;Insecta;Blattodea;NA;NA;NA;MataAtlantica;-23.658;-46.12;790;Boraceia;20.1;16;1
1.0;5;156;32.67;Arachnida;Araneae;NA;NA;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;157;33.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;22
1.0;5;158;35.67;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;159;36.67;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;160;36.67;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;161;37.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;162;37.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;163;37.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;5
1.0;5;164;37;Arachnida;Araneae;NA;NA;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;165;37.33;Insecta;Hymenoptera;Formicidae;Dolichoderinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;166;37.33;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;167;33.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;168;33.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;169;34.33;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;170;35;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;171;35;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;172;36;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;173;36;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;174;36;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;175;36.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;176;36.33;Insecta;Blattodea;NA;NA;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;20
1.0;5;177;36.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;179;36.67;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;180;36.67;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;181;40.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;16
1.0;5;182;32.33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;5
1.0;5;183;32.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;5
1.0;5;184;30.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;185;33.33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;186;35;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;187;35;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;188;35;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;190;33.33;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;3
1.0;5;191;36;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;192;36;Insecta;Hymenoptera;Formicidae;Formicinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;193;37;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;5;194;37;Insecta;Hymenoptera;Formicidae;Ponerinae;NA;MataAtlantica;-23.666;-46.008;790;Boraceia;20.1;16;1
1.0;6;195;31;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;1
1.0;6;197;32;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;1
1.0;6;198;32.33;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;9
1.0;6;199;32.33;Arachnida;Opiliones;Caddidae;NA;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;1
1.0;6;200;32.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;121
1.0;6;201;34;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;44
1.0;6;202;34;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;1
1.0;6;204;37.33;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;10
1.0;6;206;38;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;1
1.0;6;207;31.33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;1
1.0;6;208;32;Insecta;Hymenoptera;Formicidae;Myrmicinae;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;11
1.0;6;209;32;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;1
1.0;6;210;32.33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;14
1.0;6;212;32.33;Chilopoda;Geophilomorpha;NA;NA;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;2
1.0;6;213;33.33;Chilopoda;Geophilomorpha;NA;NA;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;1
1.0;6;214;33.33;Chilopoda;Geophilomorpha;NA;NA;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;56
1.0;6;215;33.33;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;1
1.0;6;216;34.67;Malacostraca;Isopoda;NA;NA;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;1
1.0;6;217;34;Insecta;Hymenoptera;Formicidae;NA;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;1
1.0;6;218;34;Insecta;Coleoptera;NA;NA;NA;MataAtlantica;-23.676;-46.037;444;Boraceia;20.1;16;4
